Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Sat, Mar 23, 2024",1:00p,Brooklyn Nets,93,New York Knicks,105,Box Score,,"19,812",Madison Square Garden (IV),
"Sat, Mar 23, 2024",7:00p,Sacramento Kings,109,Orlando Magic,107,Box Score,,"18,307",Kia Center,
"Sat, Mar 23, 2024",7:30p,Charlotte Hornets,91,Atlanta Hawks,132,Box Score,,"17,9",State Farm Arena,
"Sat, Mar 23, 2024",8:00p,Boston Celtics,124,Chicago Bulls,113,Box Score,,"21,198",United Center,
"Sat, Mar 23, 2024",8:00p,Utah Jazz,119,Houston Rockets,147,Box Score,,"18,055",Toyota Center,
"Sat, Mar 23, 2024",8:00p,Phoenix Suns,131,San Antonio Spurs,106,Box Score,,"18,354",Frost Bank Center,
"Sat, Mar 23, 2024",8:00p,Toronto Raptors,109,Washington Wizards,112,Box Score,,"15,746",Capital One Arena,
"Sat, Mar 23, 2024",10:00p,Denver Nuggets,114,Portland Trail Blazers,111,Box Score,,"18,629",Moda Center,
"Sun, Mar 24, 2024",3:00p,New Orleans Pelicans,114,Detroit Pistons,101,Box Score,,"19,922",Little Caesars Arena,
"Sun, Mar 24, 2024",3:30p,Philadelphia 76ers,121,Los Angeles Clippers,107,Box Score,,"19,37",Crypto.com Arena,
"Sun, Mar 24, 2024",6:00p,Cleveland Cavaliers,84,Miami Heat,121,Box Score,,"19,645",Kaseya Center,
"Sun, Mar 24, 2024",7:00p,Oklahoma City Thunder,93,Milwaukee Bucks,118,Box Score,,"17,877",Fiserv Forum,
"Sun, Mar 24, 2024",7:00p,Golden State Warriors,110,Minnesota Timberwolves,114,Box Score,,"18,024",Target Center,
"Sun, Mar 24, 2024",10:00p,Indiana Pacers,145,Los Angeles Lakers,150,Box Score,,"18,997",Crypto.com Arena,
"Mon, Mar 25, 2024",7:00p,Charlotte Hornets,92,Cleveland Cavaliers,115,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
